"","author","Freq"
"294218","Wei Li",103
"294267","Wei Wang",98
"132592","Jing Wang",88
"294295","Wei Zhang",88
"303397","Yan Li",80
"303451","Yan Zhang",73
"303641","Yang Li",72
"130542","Jian Wang",71
"145328","Jun Wang",68
"303643","Yang Liu",66
"303430","Yan Wang",63
"111790","Hui Zhang",62
"64605","David Montefiori",61
"165298","Lei Zhang",61
"166781","Li Li",61
"305986","Yi Zhang",61
"165277","Lei Wang",60
"145250","Jun Li",59
"294171","Wei Chen",59
"132553","Jing Li",58
